
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 825
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 825, -, 1.0, -, 2.9, 9.7, 6.0, "Cape Mendocino", 1992, "Cape Mendocino", 7.01, Reverse, 0.0, 6.96, 567.78, 0.07, 1.0, RSN825_CAPEMEND_CPM000.AT2, RSN825_CAPEMEND_CPM090.AT2 , RSN825_CAPEMEND_CPM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-825 RotD50 pSa (g)
3.0,0.1661901,0.1661901,0.1661901,0.1661901
3.2,0.1571568,0.1571568,0.1571568,0.1571568
3.4,0.1508396,0.1508396,0.1508396,0.1508396
3.5,0.1467191,0.1467191,0.1467191,0.1467191
3.6,0.1417493,0.1417493,0.1417493,0.1417493
3.8,0.1307332,0.1307332,0.1307332,0.1307332
4.0,0.1248509,0.1248509,0.1248509,0.1248509
4.2,0.1183432,0.1183432,0.1183432,0.1183432
4.4,0.1119142,0.1119142,0.1119142,0.1119142
4.6,0.1059801,0.1059801,0.1059801,0.1059801
4.8,0.1011788,0.1011788,0.1011788,0.1011788
5.0,0.09444846,0.09444846,0.09444846,0.09444846
5.5,0.07390718,0.07390718,0.07390718,0.07390718
6.0,0.05520174,0.05520174,0.05520174,0.05520174
6.5,0.04278921,0.04278921,0.04278921,0.04278921
7.0,0.03491646,0.03491646,0.03491646,0.03491646
7.5,0.02928387,0.02928387,0.02928387,0.02928387
8.0,0.02428575,0.02428575,0.02428575,0.02428575
8.5,0.01997002,0.01997002,0.01997002,0.01997002
9.0,0.01720203,0.01720203,0.01720203,0.01720203
9.5,0.01518217,0.01518217,0.01518217,0.01518217
10.0,0.01344463,0.01344463,0.01344463,0.01344463
11.0,0.01066954,0.01066954,0.01066954,0.01066954
12.0,0.00860087,0.00860087,0.00860087,0.00860087
13.0,0.00704216,0.00704216,0.00704216,0.00704216
14.0,0.00585055,0.00585055,0.00585055,0.00585055
15.0,0.00492333,0.00492333,0.00492333,0.00492333
20.0,0.00259204,0.00259204,0.00259204,0.00259204

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-825 Horizontal-1 pSa (g),RSN-825 Horizontal-2 pSa (g),RSN-825 Vertical pSa (g)
0.01,1.506261,1.068219,0.744
0.02,1.520973,1.06532,0.745
0.022,1.596354,1.181993,0.773
0.025,1.759655,1.325238,0.905
0.029,1.919375,1.349232,1.06
0.03,1.929888,1.326616,1.12
0.032,1.960061,1.272462,1.17
0.035,1.97939,1.24695,1.05
0.036,1.979681,1.260269,1.04
0.04,1.877499,1.311255,1.1
0.042,1.969136,1.291901,1.1
0.044,2.079906,1.428241,1.14
0.045,2.128639,1.468477,1.22
0.046,2.165557,1.525674,1.27
0.048,2.222363,1.640472,1.34
0.05,2.251051,1.725728,1.43
0.055,2.359576,1.808203,1.51
0.06,2.443737,1.940591,1.61
0.065,2.57179,1.988618,1.71
0.067,2.564193,2.036462,1.68
0.07,2.496398,2.017644,1.65
0.075,2.487857,1.987324,1.65
0.08,2.614492,2.09231,1.78
0.085,2.743289,2.124517,1.78
0.09,2.823287,2.047695,1.72
0.095,2.778814,2.010581,1.64
0.1,2.714272,1.965109,1.54
0.11,2.651027,1.853604,1.55
0.12,2.974194,1.818303,1.7
0.13,3.179392,1.930116,1.66
0.133,3.175522,1.986613,1.68
0.14,3.111594,2.002541,1.72
0.15,2.958807,2.055841,1.5
0.16,2.719832,1.898471,1.59
0.17,2.57854,1.62246,1.48
0.18,2.682412,1.337605,1.34
0.19,2.624913,1.082863,1.19
0.2,2.699696,0.9107795,1.04
0.22,2.942687,1.142997,0.807
0.24,3.119199,1.178733,0.666
0.25,3.242996,1.255908,0.608
0.26,3.2255,1.33481,0.555
0.28,3.104077,1.273961,0.598
0.29,2.897187,1.164808,0.621
0.3,2.752846,1.096849,0.527
0.32,2.449159,1.186398,0.443
0.34,2.194486,1.052938,0.523
0.35,2.037386,1.000849,0.541
0.36,1.928747,0.977357,0.553
0.38,1.749206,0.8609858,0.659
0.4,1.533992,0.7807624,0.717
0.42,1.341829,0.7880319,0.573
0.44,1.349009,0.8192194,0.457
0.45,1.424218,0.8472763,0.454
0.46,1.511382,0.8398612,0.46
0.48,1.605633,0.7056392,0.507
0.5,1.566728,0.5409057,0.617
0.55,1.226989,0.4298222,0.634
0.6,1.205913,0.3587649,0.395
0.65,1.228511,0.2516928,0.447
0.667,1.214564,0.2524438,0.499
0.7,1.148814,0.2758555,0.548
0.75,1.03166,0.3698046,0.493
0.8,0.9393482,0.4046061,0.41
0.85,0.8869867,0.3931731,0.387
0.9,0.8493733,0.3648906,0.389
0.95,0.8038914,0.3457428,0.375
1.0,0.7451679,0.3332295,0.345
1.1,0.6272729,0.3062096,0.301
1.2,0.5614963,0.2749243,0.319
1.3,0.5231078,0.2645164,0.343
1.4,0.4828202,0.2553005,0.343
1.5,0.4395679,0.2466717,0.329
1.6,0.391293,0.2396144,0.298
1.7,0.3426337,0.2431255,0.262
1.8,0.2986546,0.2467807,0.23
1.9,0.2627229,0.2544051,0.205
2.0,0.2341999,0.2481332,0.189
2.2,0.1965917,0.2216469,0.18
2.4,0.1864499,0.2034345,0.189
2.5,0.1863974,0.2001734,0.196
2.6,0.1882413,0.1932754,0.202
2.8,0.1901095,0.1581168,0.214
3.0,0.185809,0.1261067,0.221
3.2,0.1994502,0.1048629,0.224
3.4,0.2047869,0.09112391,0.222
3.5,0.2015822,0.0848451,0.22
3.6,0.1983007,0.07886507,0.218
3.8,0.1844052,0.0674469,0.212
4.0,0.1712629,0.05853602,0.206
4.2,0.1579879,0.05337903,0.198
4.4,0.1447096,0.04870983,0.189
4.6,0.1328642,0.05428882,0.178
4.8,0.1250762,0.05850074,0.168
5.0,0.116781,0.05867647,0.157
5.5,0.09583323,0.04932209,0.132
6.0,0.07570996,0.03938957,0.111
6.5,0.05905134,0.0284892,0.0949
7.0,0.04547467,0.01968456,0.0831
7.5,0.03622841,0.01421918,0.0725
8.0,0.03146219,0.01214831,0.0611
8.5,0.02742907,0.01048055,0.052
9.0,0.02412769,0.00912266,0.0453
9.5,0.02131064,0.00800545,0.0378
10.0,0.018893,0.00707719,0.0334
11.0,0.01502071,0.00564043,0.0252
12.0,0.01212904,0.0045972,0.0201
13.0,0.00993855,0.00381779,0.0164
14.0,0.00825831,0.00322106,0.0136
15.0,0.00695195,0.00275444,0.0114
20.0,0.00342585,0.00145811,0.00546
